e1	e2	e3	cumvol
4.6253E-01	2.6597E+00	9.9072E-01	6.9039138426233E-02
2.6588E+00	2.6751E+00	7.6035E-01	6.9190650994621E-02
4.2832E-01	4.7255E-01	9.2532E-01	6.9255552109573E-02
2.6468E+00	5.3671E-01	4.7558E-01	6.9652909694495E-02
1.4638E-01	4.7091E-01	7.0426E-01	6.9843101496329E-02
6.2298E-01	2.3679E+00	2.8308E-01	6.9846010856654E-02
3.0273E+00	2.4552E+00	2.4255E-01	7.0020756600033E-02
1.7739E-02	6.6682E-01	4.0628E-01	7.0265935312017E-02
2.9768E+00	2.6302E+00	3.2018E-01	7.0310084346326E-02
2.8592E+00	7.7226E-01	1.7360E-02	7.0451064216529E-02
1.5807E+00	2.9226E+00	9.6993E-01	7.0714366412275E-02
2.7915E+00	2.4964E+00	9.3601E-02	7.0895699923999E-02
1.8844E-03	6.8939E-01	8.3275E-01	7.0998347446026E-02
2.6889E+00	4.7819E-01	6.0591E-01	7.1094376681943E-02
3.0259E+00	7.2674E-01	5.2726E-01	7.1312645845434E-02
2.7163E+00	2.2803E+00	2.5100E-02	7.1514279774870E-02
8.6099E-02	2.0834E+00	5.0356E-01	7.1863835348935E-02
2.4913E-01	2.4970E+00	7.6882E-01	7.1866785399614E-02
1.0224E-01	2.3485E+00	7.2815E-01	7.2172388270329E-02
2.8651E+00	4.2069E-01	6.3019E-01	7.2270452023956E-02
6.0744E-01	5.7017E-01	9.0724E-01	7.2342677402664E-02
2.8484E+00	2.5286E+00	2.2728E-01	7.2446303527710E-02
8.5994E-01	7.3368E-01	9.3380E-01	7.2815630544882E-02
1.0987E-01	5.6971E-01	8.9960E-01	7.3241273012269E-02
2.4997E+00	3.8483E-01	5.2103E-01	7.3355555941080E-02
1.4889E-01	2.1701E+00	4.0500E-02	7.3495855265109E-02
2.6190E+00	2.4967E+00	9.7541E-01	7.3865007313758E-02
3.0730E+00	2.5936E+00	6.3245E-01	7.3920956550785E-02
2.8569E+00	6.1556E-01	7.9207E-01	7.3959002031964E-02
2.4099E-01	2.4321E+00	9.1469E-01	7.4028582537649E-02
2.9203E+00	6.9279E-01	6.9850E-01	7.4086057662959E-02
1.2070E+00	4.8297E-01	4.8302E-01	7.4191114053955E-02
3.0220E+00	2.4864E+00	3.3929E-01	7.4221530093721E-02
2.9032E+00	2.8065E+00	6.3668E-01	7.4484132415375E-02
4.1743E-01	2.6325E+00	2.1927E-01	7.4585146219681E-02
3.1262E+00	5.2622E-01	6.9766E-01	7.4622377893775E-02
3.7980E-01	2.9296E-01	7.6596E-01	7.4783217708606E-02
2.8896E-01	2.5484E+00	7.1010E-01	7.4783261959366E-02
7.4993E-02	2.7339E+00	5.6762E-01	7.5166974034007E-02
1.9895E-02	9.1145E-01	5.3585E-01	7.5756250726299E-02
2.8362E+00	1.9644E+00	8.4130E-01	7.5820439760052E-02
2.9009E+00	2.3384E+00	1.0451E+00	7.6028718424329E-02
1.9241E+00	2.5428E+00	5.6498E-01	7.6384538278423E-02
1.6898E-01	2.4422E+00	8.6926E-01	7.6393154460925E-02
3.6575E-01	2.4459E+00	3.9779E-01	7.6460293545358E-02
2.9847E+00	2.6227E+00	8.2369E-01	7.6572305952405E-02
