ID;ID;phi1A;PHIA;phi2A;minDev;myDev;eulNew0;eulNew1;eulNew2;disoriANew
ID;198;0.578274;1.61756;5.92755;0.0174533;5.82822;0;1.5708;0;0.684868
ID;199;0.430645;1.23284;5.93107;0.0174533;0.268761;0.483402;1.46153;5.92887;0.234578
ID;200;0.226082;0.200897;6.05813;0.0174533;3.92783;0;1.5708;0;0.2009
ID;201;0.534529;0.954677;5.81329;0.0174533;4.69766;0;1.5708;0;0.842972
ID;202;0.522817;1.53926;5.82236;0.0174533;1.87928;1.54462;2.61691;0.835354;0.755989
ID;203;0.476631;0.772643;6.06781;0.0174533;1.9848;0.665568;1.24007;6.01172;0.495152
ID;204;0.488552;1.23053;5.90107;0.0174533;4.91716;0;1.5708;0;0.656063
ID;205;1.00055;1.55239;6.06804;0.0174533;5.27017;0;1.5708;0;0.610569
ID;206;0.408296;1.22069;6.06063;0.0174533;3.84461;0;1.5708;0;0.551469
ID;207;0.215169;1.0007;6.08416;0.0174533;3.4996;0;1.5708;0;0.619702
ID;208;0.879651;1.14664;6.08069;0.0174533;2.01127;1.73637;2.34763;0.906559;0.80607
ID;209;0.912259;0.697245;5.71601;0.0174533;5.7443;0;1.5708;0;0.77483
ID;210;0.978574;1.64915;6.02727;0.0174533;1.08566;1.01186;1.91302;6.11546;0.277907
ID;211;0.573539;1.62912;5.91742;0.0174533;4.64602;0;1.5708;0;0.688874
ID;212;0.530452;0.951634;6.0417;0.0174533;5.44454;0;1.5708;0;0.79473
ID;213;0.140877;1.05849;6.21845;0.0174533;4.55155;0;1.5708;0;0.530363
ID;214;0.657727;0.580164;5.64492;0.0174533;3.66079;0;1.5708;0;0.580481
ID;215;0.869707;1.49853;5.64294;0.0174533;1.03237;1.1029;2.22681;5.83254;0.768462
ID;216;0.518744;0.336513;5.8265;0.0174533;4.49575;0;1.5708;0;0.342135
ID;217;0.518968;1.49563;6.2494;0.0174533;2.77539;0.774437;2.36293;0.154958;0.720346
ID;218;0.889241;1.89454;5.6053;0.0174533;5.28954;0;1.5708;0;0.924
ID;219;1.05838;1.26561;5.80985;0.0174533;0.402047;1.18203;1.50582;5.90876;0.295213
ID;220;0.623698;1.56495;6.26746;0.0174533;1.50611;1.34561;2.4723;0.758075;0.676683
ID;221;0.521518;0.763266;5.95686;0.0174533;4.45925;0;1.5708;0;0.786643
