ID;ID;phi1;PHI;phi2;q0;q1;q2;q3;phi1;PHI;phi2;q0B;q1B;q2B;q3B;misorientationCubicEulerAB;misoriQxQAB;misoriQuatCubic0;misoriQuatCubic1;misoriQuatCubic2;misoriQuatCubic3
ID;83;0.529996;1.26284;5.78104;-0.807112;-0.513415;-0.291289;-0.0112402;0.529996;1.26284;5.78104;-0.807112;-0.513415;-0.291289;-0.0112402;0;0;1;1.11456e-16;1.9082e-17;1.04083e-17
ID;84;0.458169;1.5717;6.26738;-0.689569;-0.687654;-0.166086;-0.155057;0.458169;1.5717;6.26738;-0.689569;-0.687654;-0.166086;-0.155057;0;0;1;6.245e-17;4.16334e-17;0
ID;85;0.599237;1.03734;5.74987;-0.868006;-0.418347;-0.265954;-0.0286208;0.599237;1.03734;5.74987;-0.868006;-0.418347;-0.265954;-0.0286208;0;0;1;1.21431e-17;3.46945e-18;0
ID;86;0.785393;1.59031;6.19132;-0.658499;-0.646383;-0.303223;-0.237958;0.785393;1.59031;6.19132;-0.658499;-0.646383;-0.303223;-0.237958;2.98023e-08;2.98023e-08;1;0;0;0
ID;87;0.733611;1.19925;5.66688;-0.824129;-0.440592;-0.352631;-0.0483931;0.733611;1.19925;5.66688;-0.824129;-0.440592;-0.352631;-0.0483931;0;0;1;0;0;0
ID;88;0.55963;1.14011;6.01448;-0.83298;-0.494049;-0.217181;-0.12203;0.55963;1.14011;6.01448;-0.83298;-0.494049;-0.217181;-0.12203;0;0;1;1.38778e-17;0;0
ID;89;0.781417;1.53843;6.25597;-0.667975;-0.639489;-0.273629;-0.264557;0.781417;1.53843;6.25597;-0.667975;-0.639489;-0.273629;-0.264557;0;0;1;2.77556e-17;0;0
ID;90;0.643486;1.78184;5.6521;-0.628683;-0.625009;-0.462716;-0.00389758;0.643486;1.78184;5.6521;-0.628683;-0.625009;-0.462716;-0.00389758;2.98023e-08;2.98023e-08;1;2.38524e-17;1.95156e-17;0
ID;91;0.522609;1.49006;6.15442;-0.72086;-0.642354;-0.21693;-0.143818;0.522609;1.49006;6.15442;-0.72086;-0.642354;-0.21693;-0.143818;2.98023e-08;2.98023e-08;1;0;0;0
ID;92;0.582135;1.48617;6.10947;-0.721086;-0.628817;-0.249647;-0.149333;0.582135;1.48617;6.10947;-0.721086;-0.628817;-0.249647;-0.149333;2.98023e-08;2.98023e-08;1;6.245e-17;2.77556e-17;0
ID;93;0.339234;1.07733;6.01427;-0.857863;-0.489458;-0.153595;-0.0301747;0.339234;1.07733;6.01427;-0.857863;-0.489458;-0.153595;-0.0301747;2.98023e-08;2.98023e-08;1;8.67362e-18;3.46945e-18;0
ID;94;1.0067;1.60918;5.94642;-0.654869;-0.564002;-0.448426;-0.227952;1.0067;1.60918;5.94642;-0.654869;-0.564002;-0.448426;-0.227952;0;0;1;2.77556e-17;0;0
ID;95;0.486263;0.775286;5.85501;-0.925412;-0.33918;-0.166873;-0.0268846;0.486263;0.775286;5.85501;-0.925412;-0.33918;-0.166873;-0.0268846;4.21468e-08;4.21468e-08;1;1.67401e-16;1.73472e-17;6.93889e-18
ID;96;1.09343;1.74383;5.85387;-0.608218;-0.554183;-0.528172;-0.209729;1.09343;1.74383;5.85387;-0.608218;-0.554183;-0.528172;-0.209729;4.21468e-08;4.21468e-08;1;1.38778e-17;0;0
ID;97;0.684673;0.885404;5.72617;-0.901757;-0.348441;-0.249199;-0.0576371;0.684673;0.885404;5.72617;-0.901757;-0.348441;-0.249199;-0.0576371;0;0;1;3.46945e-18;0;0
